Airline,Travel_date,From,To,Departure_time,Arrival_time,Duration_minutes,Stops,Price
SpiceJet,09/01/2023,Bengaluru,Mumbai,20:25,14:20,1075,1.0, 5904
Vistara,09/01/2023,Bengaluru,Mumbai,09:40,11:25,105,0.0, 6876
IndiGo,09/01/2023,Bengaluru,Mumbai,07:20,09:10,110,0.0, 7250
IndiGo,09/01/2023,Bengaluru,Mumbai,05:20,16:05,645,1.0, 7369
Akasa Air,09/01/2023,Bengaluru,Mumbai,05:30,07:10,100,0.0, 7568
SpiceJet,09/01/2023,Bengaluru,Mumbai,20:25,06:25,600,1.0, 7837
Akasa Air,09/01/2023,Bengaluru,Mumbai,07:00,08:35,95,0.0, 7868
Vistara,09/01/2023,Bengaluru,Mumbai,06:40,08:20,100,0.0, 8451
Go First,09/01/2023,Bengaluru,Mumbai,08:00,09:40,100,0.0, 8751
IndiGo,09/01/2023,Bengaluru,Mumbai,08:30,10:15,105,0.0, 8869
IndiGo,09/01/2023,Bengaluru,Mumbai,06:15,14:25,490,1.0, 9381
Vistara,09/01/2023,Bengaluru,Mumbai,08:25,10:10,105,0.0, 21019
Air India,09/01/2023,Bengaluru,New Delhi,19:20,22:20,180,0.0, 5250
Go First,09/01/2023,Bengaluru,New Delhi,16:40,21:50,310,1.0, 5427
Go First,09/01/2023,Bengaluru,New Delhi,06:30,21:50,920,1.0, 5427
Air India,09/01/2023,Bengaluru,New Delhi,21:00,00:10,190,0.0, 5500
AirAsia,09/01/2023,Bengaluru,New Delhi,15:00,20:45,345,1.0, 5658
AirAsia,09/01/2023,Bengaluru,New Delhi,18:45,00:35,350,1.0, 5658
IndiGo,09/01/2023,Bengaluru,New Delhi,22:00,01:00,180,0.0, 5659
IndiGo,09/01/2023,Bengaluru,New Delhi,06:25,13:45,440,1.0, 5659
AirAsia,09/01/2023,Bengaluru,New Delhi,22:40,01:25,165,0.0, 5685
Vistara,09/01/2023,Bengaluru,New Delhi,21:10,23:45,155,0.0, 5763
IndiGo,09/01/2023,Bengaluru,New Delhi,23:20,02:10,170,0.0, 5869
AirAsia,09/01/2023,Bengaluru,New Delhi,17:55,20:45,170,0.0, 6058
AirAsia,09/01/2023,Bengaluru,New Delhi,16:35,01:40,545,1.0, 6163
IndiGo,09/01/2023,Bengaluru,New Delhi,16:50,19:45,175,0.0, 6197
IndiGo,09/01/2023,Bengaluru,New Delhi,18:00,20:50,170,0.0, 6197
IndiGo,09/01/2023,Bengaluru,New Delhi,20:40,23:35,175,0.0, 6499
SpiceJet,09/01/2023,Bengaluru,New Delhi,23:00,01:45,165,0.0, 6576
Air India,09/01/2023,Bengaluru,New Delhi,05:45,08:45,180,0.0, 6603
Air India,09/01/2023,Bengaluru,New Delhi,11:45,14:45,180,0.0, 6603
Air India,09/01/2023,Bengaluru,New Delhi,13:15,15:55,160,0.0, 6603
Air India,09/01/2023,Bengaluru,New Delhi,15:00,18:00,180,0.0, 6603
Air India,09/01/2023,Bengaluru,New Delhi,17:10,20:00,170,0.0, 6603
AirAsia,09/01/2023,Bengaluru,New Delhi,19:50,22:50,180,0.0, 6603
IndiGo,09/01/2023,Bengaluru,New Delhi,19:15,22:10,175,0.0, 6617
Akasa Air,09/01/2023,Bengaluru,New Delhi,15:40,18:25,165,0.0, 6696
AirAsia,09/01/2023,Bengaluru,New Delhi,05:05,12:40,455,1.0, 7142
IndiGo,09/01/2023,Bengaluru,New Delhi,15:45,18:35,170,0.0, 7339
SpiceJet,09/01/2023,Bengaluru,New Delhi,10:25,19:50,565,1.0, 7375
Vistara,09/01/2023,Bengaluru,New Delhi,18:45,21:25,160,0.0, 7443
IndiGo,09/01/2023,Bengaluru,New Delhi,05:35,08:25,170,0.0, 7457
IndiGo,09/01/2023,Bengaluru,New Delhi,08:00,10:55,175,0.0, 7457
IndiGo,09/01/2023,Bengaluru,New Delhi,13:45,16:45,180,0.0, 7457
SpiceJet,09/01/2023,Bengaluru,New Delhi,05:55,08:35,160,0.0, 7683
Go First,09/01/2023,Bengaluru,New Delhi,06:20,09:00,160,0.0, 7700
IndiGo,09/01/2023,Bengaluru,New Delhi,09:50,12:40,170,0.0, 7818
Vistara,09/01/2023,Bengaluru,New Delhi,08:00,10:35,155,0.0, 8493
Air India,09/01/2023,Bengaluru,New Delhi,10:00,12:50,170,0.0, 8493
Vistara,09/01/2023,Bengaluru,New Delhi,11:30,14:10,160,0.0, 8493
Vistara,09/01/2023,Bengaluru,New Delhi,17:50,20:30,160,0.0, 8493
AirAsia,09/01/2023,Bengaluru,New Delhi,12:45,20:05,440,1.0, 8975
IndiGo,09/01/2023,Bengaluru,New Delhi,04:25,07:15,170,0.0, 9032
Go First,09/01/2023,Bengaluru,New Delhi,15:40,21:45,365,1.0, 9126
IndiGo,09/01/2023,Bengaluru,New Delhi,07:00,09:50,170,0.0, 10331
IndiGo,09/01/2023,Bengaluru,New Delhi,18:50,01:10,380,1.0, 10362
IndiGo,09/01/2023,Bengaluru,New Delhi,12:00,14:50,170,0.0, 10449
AirAsia,09/01/2023,Bengaluru,New Delhi,05:45,08:35,170,0.0, 10593
Vistara,09/01/2023,Bengaluru,New Delhi,07:00,09:40,160,0.0, 10593
Vistara,09/01/2023,Bengaluru,New Delhi,09:45,12:40,175,0.0, 10593
AirAsia,09/01/2023,Bengaluru,New Delhi,11:30,14:20,170,0.0, 10593
Vistara,09/01/2023,Bengaluru,New Delhi,19:40,22:20,160,0.0, 10593
Air India,09/01/2023,Bengaluru,New Delhi,09:15,15:15,360,1.0, 11328
SpiceJet,09/01/2023,Bengaluru,New Delhi,18:30,21:15,165,0.0, 11619
Vistara,09/01/2023,Bengaluru,New Delhi,06:10,10:55,285,1.0, 11636
Go First,09/01/2023,Mumbai,Goa,22:05,23:25,80,0.0, 2216
Vistara,09/01/2023,Mumbai,Goa,23:10,00:05,55,0.0, 2405
Go First,09/01/2023,Mumbai,Goa,16:30,17:45,75,0.0, 2596
IndiGo,09/01/2023,Mumbai,Goa,21:55,23:10,75,0.0, 2650
Alliance Air,09/01/2023,Mumbai,Goa,19:00,20:30,90,0.0, 2900
Go First,09/01/2023,Mumbai,Goa,15:20,16:35,75,0.0, 2946
SpiceJet,09/01/2023,Mumbai,Goa,01:00,02:20,80,0.0, 2984
SpiceJet,09/01/2023,Mumbai,Goa,15:05,16:30,85,0.0, 2984
SpiceJet,09/01/2023,Mumbai,Goa,21:05,22:20,75,0.0, 2984
SpiceJet,09/01/2023,Mumbai,Goa,22:45,23:55,70,0.0, 2984
Vistara,09/01/2023,Mumbai,Goa,20:55,22:10,75,0.0, 3738
Go First,09/01/2023,Mumbai,Goa,05:00,06:10,70,0.0, 3747
Go First,09/01/2023,Mumbai,Goa,11:30,12:45,75,0.0, 3747
SpiceJet,09/01/2023,Mumbai,Goa,11:15,12:30,75,0.0, 4034
IndiGo,09/01/2023,Mumbai,Goa,04:50,06:10,80,0.0, 4053
AirAsia,09/01/2023,Mumbai,Goa,01:15,02:25,70,0.0, 4578
AirAsia,09/01/2023,Mumbai,Goa,03:55,05:15,80,0.0, 4578
Air India,09/01/2023,Mumbai,Goa,13:30,14:45,75,0.0, 4578
AirAsia,09/01/2023,Mumbai,Goa,23:20,00:30,70,0.0, 4578
IndiGo,09/01/2023,Mumbai,Goa,14:05,15:25,80,0.0, 5103
Go First,09/01/2023,Mumbai,Goa,10:05,11:15,70,0.0, 5104
Air India,09/01/2023,Mumbai,Goa,21:00,22:20,80,0.0, 5208
IndiGo,09/01/2023,Mumbai,Goa,17:00,18:15,75,0.0, 5628
AirAsia,09/01/2023,Mumbai,Goa,19:40,05:25,585,1.0, 5672
IndiGo,09/01/2023,Mumbai,Goa,11:30,12:30,60,0.0, 6363
IndiGo,09/01/2023,Mumbai,Goa,09:40,10:55,75,0.0, 8253
Vistara,09/01/2023,Mumbai,Goa,17:55,14:05,1210,1.0, 8390
Vistara,09/01/2023,Mumbai,Goa,11:25,12:45,80,0.0, 13503
Vistara,09/01/2023,Mumbai,Goa,12:25,21:20,535,1.0, 13923
Go First,09/01/2023,Mumbai,Ahmedabad,13:30,14:35,65,0.0, 1899
Go First,09/01/2023,Mumbai,Ahmedabad,15:15,16:25,70,0.0, 1899
Go First,09/01/2023,Mumbai,Ahmedabad,22:40,23:50,70,0.0, 1899
Go First,09/01/2023,Mumbai,Ahmedabad,23:30,00:40,70,0.0, 1899
Vistara,09/01/2023,Mumbai,Ahmedabad,15:20,16:40,80,0.0, 2020
Vistara,09/01/2023,Mumbai,Ahmedabad,22:40,23:55,75,0.0, 2335
Akasa Air,09/01/2023,Mumbai,Ahmedabad,14:10,15:25,75,0.0, 2797
Akasa Air,09/01/2023,Mumbai,Ahmedabad,05:40,06:55,75,0.0, 2897
IndiGo,09/01/2023,Mumbai,Ahmedabad,15:40,17:00,80,0.0, 3195
IndiGo,09/01/2023,Mumbai,Ahmedabad,13:10,14:15,65,0.0, 3350
IndiGo,09/01/2023,Mumbai,Ahmedabad,18:35,19:50,75,0.0, 7410
IndiGo,09/01/2023,Mumbai,Ahmedabad,20:25,21:40,75,0.0, 7410
IndiGo,09/01/2023,Mumbai,Ahmedabad,06:30,07:45,75,0.0, 10879
Go First,09/01/2023,Mumbai,Ahmedabad,13:40,20:25,405,1.0, 11700
IndiGo,09/01/2023,Mumbai,Ahmedabad,08:05,09:05,60,0.0, 12699
Akasa Air,09/01/2023,Mumbai,Ahmedabad,09:50,11:10,80,0.0, 13197
Vistara,09/01/2023,Mumbai,Ahmedabad,12:25,22:55,630,1.0, 13923
Air India,09/01/2023,Mumbai,Ahmedabad,18:35,19:55,80,0.0, 16307
Air India,09/01/2023,Mumbai,Ahmedabad,19:00,06:55,715,1.0, 16412
SpiceJet,09/01/2023,Mumbai,Tirupati,13:45,15:40,115,0.0, 11174
Air India,09/01/2023,Mumbai,Tirupati,18:50,13:55,1145,2.0, 11267
IndiGo,09/01/2023,Mumbai,Tirupati,07:00,11:50,290,1.0, 14562
IndiGo,09/01/2023,Mumbai,Tirupati,06:10,19:30,800,2.0, 16614
IndiGo,09/01/2023,Mumbai,Tirupati,00:15,19:30,1155,2.0, 17720
IndiGo,09/01/2023,Mumbai,Tirupati,06:10,17:10,660,2.0, 17979
Air India,09/01/2023,Mumbai,Tirupati,19:00,13:55,1135,2.0, 18438
Air India,09/01/2023,Mumbai,Tirupati,18:00,13:55,1195,2.0, 18438
IndiGo,09/01/2023,Mumbai,Tirupati,05:25,14:05,520,1.0, 19226
IndiGo,09/01/2023,Mumbai,Tirupati,05:35,19:30,835,2.0, 19615
Air India,09/01/2023,Mumbai,Tirupati,13:30,13:55,1465,3.0, 20100
IndiGo,09/01/2023,Mumbai,Tirupati,00:15,14:05,830,2.0, 20135
Air India,09/01/2023,Mumbai,Tirupati,21:00,13:55,1015,3.0, 20730
IndiGo,09/01/2023,Mumbai,Tirupati,20:30,07:30,660,1.0, 21116
IndiGo,09/01/2023,Mumbai,Tirupati,05:35,14:05,510,2.0, 22030
IndiGo,09/01/2023,Mumbai,Tirupati,04:50,19:30,880,2.0, 22653
IndiGo,09/01/2023,Mumbai,Tirupati,04:50,14:05,555,2.0, 25068
"Vistara, IndiGo",09/01/2023,Mumbai,Tirupati,10:45,19:30,525,1.0, 25435
Air India,09/01/2023,Mumbai,Tirupati,16:20,13:55,1295,3.0, 26462
"Vistara, IndiGo",09/01/2023,Mumbai,Tirupati,10:45,17:10,385,1.0, 26800
AirAsia,09/01/2023,Mumbai,Bengaluru,19:40,21:40,120,0.0, 3600
AirAsia,09/01/2023,Mumbai,Bengaluru,21:50,23:50,120,0.0, 3600
Go First,09/01/2023,Mumbai,Bengaluru,19:45,21:25,100,0.0, 2072
Air India,09/01/2023,Mumbai,Bengaluru,18:50,20:30,100,0.0, 3602
Akasa Air,09/01/2023,Mumbai,Bengaluru,22:20,00:05,105,0.0, 3799
Akasa Air,09/01/2023,Mumbai,Bengaluru,13:00,14:30,90,0.0, 4002
IndiGo,09/01/2023,Mumbai,Bengaluru,18:50,20:40,110,0.0, 4190
IndiGo,09/01/2023,Mumbai,Bengaluru,23:10,00:45,95,0.0, 4190
AirAsia,09/01/2023,Mumbai,Bengaluru,20:35,22:15,100,0.0, 4195
AirAsia,09/01/2023,Mumbai,Bengaluru,23:20,07:05,465,1.0, 4277
Go First,09/01/2023,Mumbai,Bengaluru,22:15,23:55,100,0.0, 4352
Akasa Air,09/01/2023,Mumbai,Bengaluru,20:25,22:05,100,0.0, 4402
IndiGo,09/01/2023,Mumbai,Bengaluru,16:45,18:40,115,0.0, 5025
IndiGo,09/01/2023,Mumbai,Bengaluru,20:35,22:25,110,0.0, 5025
Akasa Air,09/01/2023,Mumbai,Bengaluru,00:05,01:45,100,0.0, 5052
Vistara,09/01/2023,Mumbai,Bengaluru,17:30,19:15,105,0.0, 5345
Vistara,09/01/2023,Mumbai,Bengaluru,17:55,19:15,80,0.0, 5345
IndiGo,09/01/2023,Mumbai,Bengaluru,00:15,02:00,105,0.0, 6206
Akasa Air,09/01/2023,Mumbai,Bengaluru,14:15,15:45,90,0.0, 6206
Go First,09/01/2023,Mumbai,Bengaluru,18:50,08:40,830,1.0, 6312
IndiGo,09/01/2023,Mumbai,Bengaluru,15:00,16:35,95,0.0, 6595
Vistara,09/01/2023,Mumbai,Bengaluru,06:00,07:45,105,0.0, 6605
Vistara,09/01/2023,Mumbai,Bengaluru,19:10,20:55,105,0.0, 6605
Vistara,09/01/2023,Mumbai,Bengaluru,23:10,15:55,1005,1.0, 6815
IndiGo,09/01/2023,Mumbai,Bengaluru,12:15,13:45,90,0.0, 7860
IndiGo,09/01/2023,Mumbai,Bengaluru,17:10,23:05,355,1.0, 8103
Vistara,09/01/2023,Mumbai,Bengaluru,16:00,17:45,105,0.0, 8180
Vistara,09/01/2023,Mumbai,Bengaluru,21:30,22:50,80,0.0, 8180
IndiGo,09/01/2023,Mumbai,Bengaluru,15:35,20:15,280,1.0, 9758
Air India,09/01/2023,Mumbai,Bengaluru,06:45,08:30,105,0.0, 13892
Air India,09/01/2023,Mumbai,Bengaluru,16:35,22:40,365,1.0, 14102
IndiGo,09/01/2023,Mumbai,Bengaluru,07:00,08:35,95,0.0, 16991
IndiGo,09/01/2023,Mumbai,Bengaluru,07:40,09:35,115,0.0, 16991
IndiGo,09/01/2023,Mumbai,Bengaluru,09:50,11:30,100,0.0, 16991
Akasa Air,09/01/2023,Mumbai,Bengaluru,09:20,11:05,105,0.0, 17447
Vistara,09/01/2023,Mumbai,Bengaluru,07:00,08:45,105,0.0, 20748
Vistara,09/01/2023,Mumbai,Bengaluru,09:05,10:50,105,0.0, 20748
Go First,09/01/2023,Mumbai,New Delhi,20:15,22:25,130,0.0, 5395
Go First,09/01/2023,Mumbai,New Delhi,21:15,23:30,135,0.0, 5395
Go First,09/01/2023,Mumbai,New Delhi,23:45,02:00,135,0.0, 5395
Vistara,09/01/2023,Mumbai,New Delhi,22:40,07:55,555,1.0, 5800
Akasa Air,09/01/2023,Mumbai,New Delhi,13:25,15:30,125,0.0, 5823
AirAsia,09/01/2023,Mumbai,New Delhi,07:35,14:30,415,1.0, 5855
IndiGo,09/01/2023,Mumbai,New Delhi,23:15,01:40,145,0.0, 5899
SpiceJet,09/01/2023,Mumbai,New Delhi,23:00,01:15,135,0.0, 5938
AirAsia,09/01/2023,Mumbai,New Delhi,15:15,23:05,470,1.0, 6120
SpiceJet,09/01/2023,Mumbai,New Delhi,21:45,23:40,115,0.0, 6206
Go First,09/01/2023,Mumbai,New Delhi,10:40,18:15,455,1.0, 6863
IndiGo,09/01/2023,Mumbai,New Delhi,02:30,04:45,135,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,05:00,07:15,135,0.0, 7308
Vistara,09/01/2023,Mumbai,New Delhi,06:00,07:55,115,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,06:05,08:20,135,0.0, 7308
Vistara,09/01/2023,Mumbai,New Delhi,06:30,08:35,125,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,09:30,11:45,135,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,10:25,12:40,135,0.0, 7308
Vistara,09/01/2023,Mumbai,New Delhi,11:55,14:05,130,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,12:05,14:15,130,0.0, 7308
Vistara,09/01/2023,Mumbai,New Delhi,12:25,14:45,140,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,12:40,15:00,140,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,14:35,16:45,130,0.0, 7308
Air India,09/01/2023,Mumbai,New Delhi,15:30,17:55,145,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,15:45,17:35,110,0.0, 7308
Air India,09/01/2023,Mumbai,New Delhi,16:35,18:40,125,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,17:15,19:30,135,0.0, 7308
Air India,09/01/2023,Mumbai,New Delhi,18:00,20:20,140,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,18:45,21:00,135,0.0, 7308
Air India,09/01/2023,Mumbai,New Delhi,19:00,21:20,140,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,20:00,22:15,135,0.0, 7308
IndiGo,09/01/2023,Mumbai,New Delhi,22:15,00:40,145,0.0, 7308
SpiceJet,09/01/2023,Mumbai,New Delhi,06:10,10:30,260,1.0, 7467
Air India,09/01/2023,Mumbai,New Delhi,16:40,22:20,340,1.0, 7678
IndiGo,09/01/2023,Mumbai,New Delhi,08:30,10:45,135,0.0, 7833
SpiceJet,09/01/2023,Mumbai,New Delhi,07:10,09:30,140,0.0, 8075
AirAsia,09/01/2023,Mumbai,New Delhi,19:40,01:25,345,1.0, 8557
AirAsia,09/01/2023,Mumbai,New Delhi,21:50,08:35,645,1.0, 8557
Vistara,09/01/2023,Mumbai,New Delhi,14:40,16:55,135,0.0, 8568
Vistara,09/01/2023,Mumbai,New Delhi,15:45,18:05,140,0.0, 8568
Go First,09/01/2023,Mumbai,New Delhi,19:10,21:20,130,0.0, 8778
IndiGo,09/01/2023,Mumbai,New Delhi,07:00,09:15,135,0.0, 8883
Vistara,09/01/2023,Mumbai,New Delhi,10:30,14:40,250,1.0, 8988
Air India,09/01/2023,Mumbai,New Delhi,07:00,09:15,135,0.0, 10143
Vistara,09/01/2023,Mumbai,New Delhi,08:45,11:00,135,0.0, 10143
Vistara,09/01/2023,Mumbai,New Delhi,10:20,12:40,140,0.0, 10143
Vistara,09/01/2023,Mumbai,New Delhi,15:20,22:00,400,1.0, 10210
IndiGo,09/01/2023,Mumbai,New Delhi,07:45,10:00,135,0.0, 11508
Go First,09/01/2023,Mumbai,New Delhi,22:05,03:00,295,1.0, 12949
Vistara,09/01/2023,Mumbai,New Delhi,12:10,16:30,260,1.0, 13575
Vistara,09/01/2023,Mumbai,New Delhi,20:55,23:00,125,0.0, 13818
Go First,09/01/2023,Mumbai,New Delhi,15:20,20:20,300,1.0, 13893
Air India,09/01/2023,Mumbai,New Delhi,12:15,17:25,310,1.0, 14198
Vistara,09/01/2023,Mumbai,New Delhi,07:30,09:40,130,0.0, 15834
Vistara,09/01/2023,Mumbai,New Delhi,18:30,20:40,130,0.0, 19068
SpiceJet,09/01/2023,Mumbai,New Delhi,10:05,12:20,135,0.0, 19625
Vistara,09/01/2023,Mumbai,New Delhi,19:45,21:55,130,0.0, 22743
Vistara,09/01/2023,Mumbai,New Delhi,21:55,00:10,135,0.0, 27332
Go First,09/01/2023,New Delhi,Goa,21:30,00:05,155,0.0, 5202
IndiGo,09/01/2023,New Delhi,Goa,19:10,21:55,165,0.0, 5219
IndiGo,09/01/2023,New Delhi,Goa,20:25,22:50,145,0.0, 5219
IndiGo,09/01/2023,New Delhi,Goa,17:40,20:20,160,0.0, 6007
SpiceJet,09/01/2023,New Delhi,Goa,20:00,22:20,1580,1.0, 6317
SpiceJet,09/01/2023,New Delhi,Goa,17:45,20:25,160,0.0, 6374
SpiceJet,09/01/2023,New Delhi,Goa,18:50,23:55,305,1.0, 6572
SpiceJet,09/01/2023,New Delhi,Goa,20:00,12:30,990,1.0, 6572
SpiceJet,09/01/2023,New Delhi,Goa,16:50,19:15,145,0.0, 6690
Vistara,09/01/2023,New Delhi,Goa,18:40,21:20,160,0.0, 7005
Air India,09/01/2023,New Delhi,Goa,22:00,00:40,160,0.0, 7005
Go First,09/01/2023,New Delhi,Goa,22:30,06:10,460,1.0, 7050
AirAsia,09/01/2023,New Delhi,Goa,04:35,07:25,170,0.0, 8159
AirAsia,09/01/2023,New Delhi,Goa,12:45,15:25,160,0.0, 8159
IndiGo,09/01/2023,New Delhi,Goa,16:25,19:05,160,0.0, 8159
AirAsia,09/01/2023,New Delhi,Goa,20:00,22:35,155,0.0, 8159
AirAsia,09/01/2023,New Delhi,Goa,13:15,17:35,260,1.0, 8159
Go First,09/01/2023,New Delhi,Goa,10:45,13:30,165,0.0, 8895
IndiGo,09/01/2023,New Delhi,Goa,10:55,13:40,165,0.0, 8900
IndiGo,09/01/2023,New Delhi,Goa,12:05,14:40,155,0.0, 8900
IndiGo,09/01/2023,New Delhi,Goa,15:35,20:45,310,1.0, 9377
IndiGo,09/01/2023,New Delhi,Goa,09:55,12:35,160,0.0, 9400
"Go First, SpiceJet",09/01/2023,New Delhi,Goa,06:00,12:30,390,1.0, 9443
Vistara,09/01/2023,New Delhi,Goa,11:10,13:50,160,0.0, 9630
"IndiGo, Go First",09/01/2023,New Delhi,Goa,06:30,12:45,375,1.0, 9646
Air India,09/01/2023,New Delhi,Goa,10:55,13:25,150,0.0, 11310
IndiGo,09/01/2023,New Delhi,Goa,08:10,12:30,260,1.0, 11813
SpiceJet,09/01/2023,New Delhi,Goa,12:15,14:50,155,0.0, 14144
IndiGo,09/01/2023,New Delhi,Goa,07:25,10:05,160,0.0, 16034
IndiGo,09/01/2023,New Delhi,Ahmedabad,23:40,01:25,105,0.0, 4863
IndiGo,09/01/2023,New Delhi,Ahmedabad,22:00,23:35,95,0.0, 4952
Go First,09/01/2023,New Delhi,Ahmedabad,22:00,23:35,95,0.0, 4239
Go First,09/01/2023,New Delhi,Ahmedabad,22:00,23:35,95,0.0, 5221
SpiceJet,09/01/2023,New Delhi,Ahmedabad,20:10,07:40,690,1.0, 5253
SpiceJet,09/01/2023,New Delhi,Ahmedabad,20:30,22:10,100,0.0, 5574
IndiGo,09/01/2023,New Delhi,Ahmedabad,05:00,06:35,95,0.0, 5997
IndiGo,09/01/2023,New Delhi,Ahmedabad,20:20,21:55,95,0.0, 6553
Vistara,09/01/2023,New Delhi,Ahmedabad,21:20,22:55,95,0.0, 7005
IndiGo,09/01/2023,New Delhi,Ahmedabad,21:30,07:25,595,1.0, 7688
IndiGo,09/01/2023,New Delhi,Ahmedabad,18:40,20:15,95,0.0, 7852
Go First,09/01/2023,New Delhi,Ahmedabad,17:30,19:05,95,0.0, 8139
Akasa Air,09/01/2023,New Delhi,Ahmedabad,19:10,20:55,105,0.0, 8239
Vistara,09/01/2023,New Delhi,Ahmedabad,18:00,19:45,105,0.0, 8265
Vistara,09/01/2023,New Delhi,Ahmedabad,11:40,16:40,300,1.0, 8962
Go First,09/01/2023,New Delhi,Ahmedabad,06:00,07:35,95,0.0, 8991
Vistara,09/01/2023,New Delhi,Ahmedabad,15:30,23:55,505,1.0, 9277
SpiceJet,09/01/2023,New Delhi,Ahmedabad,08:30,10:20,110,0.0, 10930
IndiGo,09/01/2023,New Delhi,Ahmedabad,14:30,22:45,495,1.0, 11418
Air India,09/01/2023,New Delhi,Ahmedabad,04:55,06:55,120,0.0, 11835
Vistara,09/01/2023,New Delhi,Ahmedabad,19:00,23:55,295,1.0, 12112
Air India,09/01/2023,New Delhi,Ahmedabad,19:10,20:50,100,0.0, 13935
IndiGo,09/01/2023,New Delhi,Ahmedabad,06:55,12:30,335,1.0, 15328
Alliance Air,09/01/2023,New Delhi,Ahmedabad,14:15,17:20,185,1.0, 16245
IndiGo,09/01/2023,New Delhi,Ahmedabad,06:20,08:05,105,0.0, 17294
IndiGo,09/01/2023,New Delhi,Ahmedabad,09:40,11:25,105,0.0, 18052
Vistara,09/01/2023,New Delhi,Ahmedabad,13:25,15:00,95,0.0, 22264
IndiGo,09/01/2023,New Delhi,Tirupati,05:55,11:50,355,1.0, 8245
IndiGo,09/01/2023,New Delhi,Tirupati,19:45,07:30,705,1.0, 8245
IndiGo,09/01/2023,New Delhi,Tirupati,04:20,11:50,450,1.0, 8766
SpiceJet,09/01/2023,New Delhi,Tirupati,14:00,07:20,1040,1.0, 9946
SpiceJet,09/01/2023,New Delhi,Tirupati,12:45,14:00,1515,1.0, 10980
IndiGo,09/01/2023,New Delhi,Tirupati,22:55,10:55,720,1.0, 11478
IndiGo,09/01/2023,New Delhi,Tirupati,21:25,07:30,605,1.0, 11782
SpiceJet,09/01/2023,New Delhi,Tirupati,20:00,15:40,1180,1.0, 11838
SpiceJet,09/01/2023,New Delhi,Tirupati,18:50,15:40,1250,1.0, 11838
IndiGo,09/01/2023,New Delhi,Tirupati,06:10,12:10,360,1.0, 12552
SpiceJet,09/01/2023,New Delhi,Tirupati,09:20,20:00,640,1.0, 13355
IndiGo,09/01/2023,New Delhi,Tirupati,09:55,19:30,575,1.0, 14197
"SpiceJet, IndiGo",09/01/2023,New Delhi,Tirupati,14:00,19:30,330,1.0, 14736
SpiceJet,09/01/2023,New Delhi,Tirupati,07:00,15:40,520,1.0, 15094
IndiGo,09/01/2023,New Delhi,Tirupati,09:55,17:10,435,1.0, 15562
"Air India, IndiGo",09/01/2023,New Delhi,Tirupati,09:45,17:10,445,1.0, 16102
"Vistara, IndiGo",09/01/2023,New Delhi,Tirupati,10:20,17:10,410,1.0, 16417
IndiGo,09/01/2023,New Delhi,Tirupati,01:55,07:30,335,1.0, 17242
IndiGo,09/01/2023,New Delhi,Tirupati,06:30,17:10,640,1.0, 17347
IndiGo,09/01/2023,New Delhi,Tirupati,13:40,19:30,350,1.0, 17662
IndiGo,09/01/2023,New Delhi,Tirupati,08:10,19:30,680,1.0, 17662
IndiGo,09/01/2023,New Delhi,Tirupati,06:30,14:05,455,1.0, 18397
IndiGo,09/01/2023,New Delhi,Tirupati,08:10,17:10,540,1.0, 19027
IndiGo,09/01/2023,New Delhi,Tirupati,08:10,14:05,355,1.0, 20077
IndiGo,09/01/2023,New Delhi,Tirupati,09:55,14:05,250,1.0, 22975
Go First,09/01/2023,New Delhi,Bengaluru,22:05,10:10,725,1.0, 5229
Air India,09/01/2023,New Delhi,Bengaluru,21:10,00:05,175,0.0, 6344
AirAsia,09/01/2023,New Delhi,Bengaluru,05:45,12:25,400,1.0, 6737
Vistara,09/01/2023,New Delhi,Bengaluru,05:35,08:20,165,0.0, 7184
Air India,09/01/2023,New Delhi,Bengaluru,13:30,16:25,175,0.0, 7184
Air India,09/01/2023,New Delhi,Bengaluru,16:55,20:15,200,0.0, 7184
Air India,09/01/2023,New Delhi,Bengaluru,19:25,22:40,195,0.0, 7184
IndiGo,09/01/2023,New Delhi,Bengaluru,20:30,01:40,310,1.0, 7487
SpiceJet,09/01/2023,New Delhi,Bengaluru,19:35,22:20,165,0.0, 7754
SpiceJet,09/01/2023,New Delhi,Bengaluru,22:00,00:45,165,0.0, 7754
IndiGo,09/01/2023,New Delhi,Bengaluru,04:20,07:15,175,0.0, 7919
IndiGo,09/01/2023,New Delhi,Bengaluru,20:30,23:25,175,0.0, 7919
IndiGo,09/01/2023,New Delhi,Bengaluru,22:55,01:45,170,0.0, 7919
SpiceJet,09/01/2023,New Delhi,Bengaluru,09:20,17:05,465,1.0, 7925
AirAsia,09/01/2023,New Delhi,Bengaluru,19:05,21:45,160,0.0, 8025
